State,Abbrev,US_Region
Illinois,IL,East North Central
Indiana,IN,East North Central
Michigan,MI,East North Central
Ohio,OH,East North Central
Wisconsin,WI,East North Central
Alabama,AL,East South Central
Kentucky,KY,East South Central
Mississippi,MS,East South Central
Tennessee,TN,East South Central
New Jersey,NJ,Middle Atlantic
New York,NY,Middle Atlantic
Pennsylvania,PA,Middle Atlantic
Arizona,AZ,Mountain
Colorado,CO,Mountain
Idaho,ID,Mountain
Montana,MT,Mountain
New Mexico,NM,Mountain
Nevada,NV,Mountain
Utah,UT,Mountain
Wyoming,WY,Mountain
Connecticut,CT,New England
Maine,ME,New England
Massachusetts,MA,New England
New Hampshire,NH,New England
Rhode Island,RI,New England
Vermont,VT,New England
California,CA,Pacific
Oregon,OR,Pacific
Washington,WA,Pacific
Delaware,DE,South Atlantic
Florida,FL,South Atlantic
Georgia,GA,South Atlantic
Maryland,MD,South Atlantic
North Carolina,NC,South Atlantic
South Carolina,SC,South Atlantic
Virginia,VA,South Atlantic
West Virginia,WV,South Atlantic
Iowa,IA,West North Central
Kansas,KS,West North Central
Minnesota,MN,West North Central
Missouri,MO,West North Central
Nebraska,NE,West North Central
North Dakota,ND,West North Central
South Dakota,SD,West North Central
Arkansas,AR,West South Central
Louisiana,LA,West South Central
Oklahoma,OK,West South Central
Texas,TX,West South Central
